ID,LONGDISTANCE,INTERNATIONAL,LOCAL,DROPPED,PAYMETHOD,LOCALBILLTYPE,LONGDISTANCEBILLTYPE,USAGE,RATEPLAN,GENDER,STATUS,CHILDREN,ESTINCOME,CAROWNER,AGE,CHURN
1017,7,0,6,0,CC,Budget,Standard,13,3,F,M,0,95405.7,N,48,F
1020,0,0,11,0,CC,FreeLocal,Intnl_discount,12,3,M,S,0,90321.6,N,55.113333,T
1022,8,0,13,0,CH,Budget,Standard,21,3,F,M,2,56187,N,43,F
1041,12,0,46,4,CC,FreeLocal,Standard,58,4,M,M,2,53010.8,N,18.84,F
1046,9,0,38,0,CC,Budget,Standard,48,1,M,S,1,57626.9,Y,43.906667,F
1048,17,4,49,1,Auto,FreeLocal,Standard,72,3,F,M,2,47902,N,26.033333,F
1061,28,0,45,0,CH,Budget,Standard,74,4,F,M,0,83891.9,Y,61.02,T
1069,11,1,22,0,CC,FreeLocal,Standard,36,2,M,S,2,89459.9,N,53.28,T
1084,11,0,50,0,CC,FreeLocal,Standard,61,4,F,S,1,7737.94,N,42.666667,T
1092,18,0,59,0,CC,FreeLocal,Standard,77,2,F,S,2,9559.78,N,51.38,T
1099,23,0,50,0,Auto,FreeLocal,Standard,73,1,F,D,1,68427.4,N,42.393333,F
1104,11,0,47,0,Auto,Budget,Standard,58,4,F,S,2,66182.7,Y,62.48,F
1229,27,5,16,0,CH,FreeLocal,Standard,49,3,F,M,0,28770.9,N,12.34,T
1233,20,0,23,0,CC,Budget,Intnl_discount,43,3,F,S,2,76791.2,N,43,F
1248,6,0,15,0,CC,FreeLocal,Standard,21,1,F,M,2,69343.3,N,42.166667,F
1260,22,0,41,0,CC,Budget,Intnl_discount,64,3,F,S,2,23464,Y,55,T
1264,10,0,93,0,CC,Budget,Standard,104,3,F,M,1,95620.3,Y,41,F
1267,13,0,11,0,Auto,FreeLocal,Standard,25,2,F,M,1,98453.6,Y,55,F
1282,0,0,2,0,CC,FreeLocal,Standard,2,2,F,M,1,95011.5,N,52,F
1287,21,0,139,0,Auto,Budget,Standard,160,4,F,M,1,87404.6,N,63.186667,F
1290,2,0,36,1,CC,FreeLocal,Standard,38,1,F,S,0,2121.36,N,39.786667,T
1297,4,6,18,0,CC,FreeLocal,Standard,29,2,F,S,1,27783.6,N,14.04,T
1304,18,5,20,0,CC,Budget,Standard,43,2,M,S,1,76529.8,N,58.28,T
1311,12,0,83,0,CH,FreeLocal,Standard,96,1,F,M,0,53432.2,Y,57,F
1319,22,7,65,0,CC,FreeLocal,Standard,95,1,F,S,0,20913.6,N,53.013333,T
1327,29,0,114,1,CC,FreeLocal,Standard,143,2,F,M,1,88759.5,N,60,F
1360,18,0,25,0,Auto,FreeLocal,Standard,44,1,F,S,0,93454.3,Y,48.533333,F
1361,26,0,17,0,CC,FreeLocal,Standard,44,3,M,M,0,5745,Y,15.38,T
1367,6,0,43,0,CC,FreeLocal,Standard,50,2,F,M,2,48322.5,Y,49.333333,F
1369,6,8,184,0,Auto,Budget,Standard,199,2,M,S,2,78373.5,N,35.346667,F
1378,7,0,7,0,CC,Budget,Standard,14,2,F,M,2,92103.8,N,52.153333,F
1403,24,5,60,0,CC,FreeLocal,Standard,90,4,F,M,2,68462.8,N,34.4,F
1409,20,0,100,0,Auto,Budget,Standard,120,2,F,S,1,77000,Y,45.486667,F
142,6,0,58,0,CC,Budget,Standard,64,1,M,M,2,28766.9,N,46.84,F
1443,29,0,66,0,Auto,FreeLocal,Standard,96,4,M,S,1,3960.5,N,14.693333,T
