"ID","LONGDISTANCE","INTERNATIONAL","LOCAL","DROPPED","PAYMETHOD","LOCALBILLTYPE","LONGDISTANCEBILLTYPE","USAGE","RATEPLAN","GENDER","STATUS","CHILDREN","ESTINCOME","CAROWNER","AGE","CHURN"
"1","23","0","206","0","CC","Budget","Intnl_discount","229","3","F","S","1","38000","N","24.393333","T"
"1004","28","0","60","0","Auto","FreeLocal","Standard","89","4","F","M","1","8073.11","N","46","F"
"1005","24","0","5","0","CH","Budget","Standard","29","4","M","M","0","95448.6","Y","53.68","F"
"1006","28","0","97","0","CC","FreeLocal","Standard","125","1","M","S","1","24141.5","Y","17.006667","T"
"1008","0","0","4","2","CC","Budget","Standard","4","2","M","S","1","31952","N","34.266667","F"
"1009","29","0","9","0","CC","Budget","Intnl_discount","38","2","M","S","2","72084.7","N","55.64","F"
"1010","13","0","40","0","CC","Budget","Standard","53","4","F","S","0","42760.5","N","47","F"
"1016","16","0","114","0","CH","Budget","Standard","130","1","M","M","1","71472.9","N","41.913333","T"
"1017","7","0","6","0","CC","Budget","Standard","13","3","F","M","0","95405.7","N","48","F"
"1018","21","0","87","0","CC","Budget","Standard","108","1","F","S","0","95786.8","Y","52.646667","F"
"1020","0","0","11","0","CC","FreeLocal","Intnl_discount","12","3","M","S","0","90321.6","N","55.113333","T"
"1022","8","0","13","0","CH","Budget","Standard","21","3","F","M","2","56187","N","43","F"
"1030","29","0","45","0","CH","FreeLocal","Standard","75","4","M","M","2","29616","N","49.426667","F"
"1032","24","0","22","0","CC","FreeLocal","Standard","47","1","M","M","0","19732.8","N","50.673333","F"
"1038","5","0","23","0","CH","Budget","Intnl_discount","28","2","F","M","2","52004.8","N","25.14","F"
"1041","12","0","46","4","CC","FreeLocal","Standard","58","4","M","M","2","53010.8","N","18.84","F"
"1042","26","0","32","0","CC","Budget","Intnl_discount","58","1","M","M","0","75004.5","N","64.8","F"
"1045","20","0","13","0","CC","Budget","Standard","34","2","M","M","0","19749.3","N","60.366667","F"
"1046","9","0","38","0","CC","Budget","Standard","48","1","M","S","1","57626.9","Y","43.906667","F"
"1047","9","0","6","0","CC","Budget","Intnl_discount","15","1","M","M","2","20078","N","32.846667","F"
"1048","17","4","49","1","Auto","FreeLocal","Standard","72","3","F","M","2","47902","N","26.033333","F"
"1053","22","0","178","0","CC","Budget","Standard","200","2","M","M","1","7545.96","Y","16.753333","T"
"1059","0","0","28","0","CC","FreeLocal","Standard","29","3","F","S","0","78851.3","N","48.373333","F"
"1061","28","0","45","0","CH","Budget","Standard","74","4","F","M","0","83891.9","Y","61.02","T"
"1066","13","8","56","0","CC","Budget","Standard","78","3","F","M","2","5237.63","N","48.753333","F"
"1069","11","1","22","0","CC","FreeLocal","Standard","36","2","M","S","2","89459.9","N","53.28","T"
"1072","14","0","25","0","CC","Budget","Standard","40","4","F","S","1","13576.5","N","39.426667","T"
"1073","20","0","15","1","CC","FreeLocal","Standard","36","4","F","S","0","81710.9","N","58.54","F"
"1079","12","0","311","0","CC","Budget","Standard","323","4","F","S","0","45612.9","N","14.3","F"
"1084","11","0","50","0","CC","FreeLocal","Standard","61","4","F","S","1","7737.94","N","42.666667","T"
"1085","21","0","293","0","CH","Budget","Standard","314","2","M","S","2","120000","N","42","T"
